button,category,movie_name,card_title,price,sold_date
Add to cart,promotional-items,SPIDER-MAN: FAR FROM HOME (2019),Crew Jacket and Postcard,£295,
Sold Archive,promotional-items,STAR WARS: THE FORCE AWAKENS (2015),First Order Stormtrooper Statue,"$7,195","Sold on 8 Apr, 2022"
Add to cart,production,STAR WARS: THE EMPIRE STRIKES BACK (1980),Dennis Muren-Signed Production Storyboard - Imperial Fleet First Assembles (VH 3),$495,
Add to cart,production,"DEATH OF STALIN, THE (2017)","Lavrentiy Beria (Simon Russell Beale) Burned Bust, Script and Signal Light",£895,
Add to cart,production,"CHRONICLES OF NARNIA, THE: THE LION, THE WITCH AND THE WARDROBE (2005)",Ogre Paint Test,"$1,795",
Sold Archive,production,OUTLANDER (2014-2019),Maria Doyle Kennedy Outlander Script Charity Online Auction 2020 Maria Doyle Kennedy's Cast Autographed Script - Episode 509 'Monsters And Heroes',"£24,500","Sold on 22 Jun, 2020"
Add to cart,production,STAR WARS: RETURN OF THE JEDI (1983),Wicket (Warwick Davis) Film Reel Cell Crew Gift,"£1,495",
Add to cart,production,STAR TREK: THE NEXT GENERATION (1987-1994),Full Starship Transfers Sheet,"£1,295",
Add to cart,production,STAR WARS: THE EMPIRE STRIKES BACK (1980),Phil Tippett-Signed Production Storyboard - Falcon Races Down Tunnel (A30),$595,
Add to cart,production,ALIENS (1986),"Narcissus, Ripley's Apt., Int Hospital Room 'Set Detail' Original Hand Drawn Production Design Artwork",£795,
Sold Archive,production,STARSHIP TROOPERS (1997),Entertainment Memorabilia Live Auction - Los Angeles - 2020 Phil Tippett Collection: Tanker Bug Maquette,"$23,750","Sold on 26 Aug, 2020"
Add to cart,production,2010: THE YEAR WE MAKE CONTACT (1984),Collection of Hand-drawn Concept Art and Blueprints,£995,
Add to cart,production,MEET DAVE (2008),Eddie Murphy's Chairback with Additional Production Chairback,$495,
Add to cart,production,ALIENS (1986),Narcissus Internal Detail 'Sleep Capsule',£895,
Add to cart,production,FRIDAY THE 13TH (2009),Hand-drawn Doug Brode Storyboard – Jason Hits Donnie,£695,
Add to cart,production,RAVENOUS (1999),Annotated Shooting Script and Hand-drawn Storyboards,£495,
Add to cart,production,X-MEN (2000),Cyclop's (James Marsden) Test Paint Visor,"£1,995",
Add to cart,production,X-MEN: FIRST CLASS (2011),Beast's (Nicholas Hoult) Master Reference Cowl with Wig,"$5,145",
Add to cart,production,CONGO (1995),Storyboard Copies,$895,
Add to cart,production,SPHERE (1998),Collection of Visual Effects Pieces,£495,
