button,category,movie_name,card_title,price,sold_date
Add to cart,artwork,STAR WARS: RETURN OF THE JEDI (1983),Howard Kazanjian-Signed Production Storyboard - Luke Seeing What's Ahead Tips Bike (67-72),$495,
Add to cart,artwork,STAR TREK: NEMESIS (2002),Mariano Diaz Hand-drawn Romulan Committee Member,£345,
Add to cart,artwork,STAR WARS: RETURN OF THE JEDI (1983),Howard Kazanjian-Signed Production Storyboard - Close-Up of Leia Continuing to Pursue Biker #1,$495,
Add to cart,artwork,FRIDAY THE 13TH (2009),Hand-drawn Doug Brode Storyboard – Donnie Meets Jason,£695,
Add to cart,artwork,SUPERMAN (1978),Superman Flying Gimbal Pencil Drawn Designs,£695,
Add to cart,artwork,MASTERS OF THE UNIVERSE (1987),Collection of Hand-drawn and Printed Concept Artwork,£795,
Add to cart,artwork,"HITCHHIKER'S GUIDE TO THE GALAXY, THE (2005)",Matte Painting,"£1,245",
Add to cart,artwork,TRON (1982),Pre-Production Kodalith Cel - 007,£245,
Add to cart,artwork,TROY (2004),Mariano Diaz Hand-drawn Archeptolemus (Nigel Terry) High Priest Sketch,£295,
Add to cart,artwork,STAR TREK III: THE SEARCH FOR SPOCK (1984),Hand-Drawn Storyboard - Bird of Prey and Merchantman,$445,
Sold Archive,artwork,STAR WARS: THE EMPIRE STRIKES BACK (1980),Entertainment Memorabilia Live Auction - Los Angeles 2022 Lot # 402 - Hand-Drawn Ralph McQuarrie Snowspeeder Concept Sketch,"$18,750","Sold on 24 May, 2022"
Add to cart,artwork,RETURN TO OZ (1985),"Hand-painted ""Dorothy and Nome King"" Production Illustration",$595,
Add to cart,artwork,CONGO (1995),Amy Hand Painting - Eye of Providence,$295,
Add to cart,artwork,"LAST STARFIGHTER, THE (1984)",Hand-Drawn Ron Cobb Storyboard - Skip Blasts Through Landslide,$395,
Add to cart,artwork,2010: THE YEAR WE MAKE CONTACT (1984),Hand-Drawn Storyboard - Jupiter 1 Engulfed,£495,
Add to cart,artwork,ELF (2003),Production-Used Storyboard - Walter Swaps Suits with Santa,£295,
Add to cart,artwork,SEX AND THE CITY 2 (2010),Blueprints and Set Designs,£295,
Add to cart,artwork,GLADIATOR (2000),Original Storyboard Artwork - Gladiators Bound in Chains Fighting,$595,
Add to cart,artwork,STAR WARS: ATTACK OF THE CLONES (2002),Original Hand-Drawn Production Storyboard - Flying Fulcrum,£595,
Add to cart,artwork,"OUTER LIMITS, THE (1995)",Original Production Storyboard - Alien Town,£245,
Add to cart,artwork,"WOLVERINE, THE (2013)","Style Guide, Art Portfolio and Limited Edition Print",$795,
Add to cart,artwork,STAR WARS: RETURN OF THE JEDI (1983),Framed Original Pencil Rotoscope Artwork – Luke Skywalker (Mark Hamill) on Endor,£695,
Add to cart,artwork,SCARY MOVIE 2 (2001),Original Hand-Drawn Production Storyboard Pages,$395,
Add to cart,artwork,INDIANA JONES AND THE LAST CRUSADE (1989),Set of 16 Hand-Made Lucasfilm Licensing Apparel Concept Posters,$695,
Sold Archive,artwork,PARAMOUNT PICTURES (1951-1975),Entertainment Memorabilia Live Auction - London - 2020 Hand-painted Paramount Pictures 1951-1975 Logo Matte Painting,"£18,750","Sold on 30 Oct, 2020"
Sold Archive,artwork,INDIANA JONES AND THE LAST CRUSADE (1989),Entertainment Memorabilia Live Auction - Los Angeles 2022 Lot # 189 - Framed Hand-Painted Mark Sullivan Leap of Faith Invisible Bridge Matte Painting Study,"$20,000","Sold on 24 May, 2022"
Add to cart,artwork,"CRAFT, THE (1996)",Original Production Art 'The Craft' Book Cover,$395,
Add to cart,artwork,TROY (2004),Mariano Diaz Hand-drawn Achilles (Brad Pitt) Alternate Armour Design No.4,£795,
Add to cart,artwork,WILLOW (1988),Set of 10 Nockmaar Castle Behind-the-Scenes Production Photographs,$295,
Sold Archive,artwork,ROBOT VISIONS (1990),Entertainment Memorabilia Live Auction: Los Angeles 2023 Lot #444 - William Plumb Collection: Framed Hand-Painted Ralph McQuarrie Cover Artwork,"$31,250","Sold on 30 May, 2023"
Add to cart,artwork,SOLARBABIES (1986),Hand-drawn Storyboards and Production Artwork,£345,
Add to cart,artwork,TRON (1982),Pre-Production Kodalith Cel - 008,£245,
Add to cart,artwork,TROY (2004),Mariano Diaz Hand-drawn Agamemnon (Brian Cox) Court Robe No.34,£395,
Add to cart,artwork,TROY (2004),Mariano Diaz Hand-drawn Helen of Troy (Diane Kruger) Costume Concept No.47,£395,
Add to cart,artwork,MUHAMMAD ALI (1965),Muhammad Ali and Angelo Marion Autographed Lithograph,£995,
Sold Archive,artwork,STAR WARS: RETURN OF THE JEDI (1983),Entertainment Memorabilia Live Auction - London - 2019 Robert Watts Collection: Hand-painted Ralph McQuarrie Illustration of Vader Arriving on Death Star,"£172,200","Sold on 16 Sep, 2019"
Add to cart,artwork,HELLBOY: SWORD OF STORMS (2006),Hand-Drawn Hellboy Model Sheet,$325,
Add to cart,artwork,ALICE THROUGH THE LOOKING GLASS (2016),Mad Hatter (Johnny Depp) Costume Design Print,£595,
Add to cart,artwork,"PUNISHER 2: WAR ZONE, THE (2008)",Three Original Pencil Drawn Sketches,£395,
Add to cart,artwork,NATIONAL TREASURE (2004),Set of Hand-Illustrated and Printed Jack Johnson Meerschaum Pipe Artworks,"$1,975",
Add to cart,artwork,ALIENS (1986),Original Production Storyboard Set - Dropship Flying Over Colony,£495,
Add to cart,artwork,STAR TREK III: THE SEARCH FOR SPOCK (1984),Hand-Drawn Storyboard - Bird of Prey Viewscreen of Shimmering,$445,
Add to cart,artwork,STAR WARS: THE PHANTOM MENACE (1999),Four Production Drawings,£595,
Add to cart,artwork,ELF (2003),Production-Used Storyboard - Buddy and the Elves Play Basketball,£295,
Add to cart,artwork,STAR WARS: ATTACK OF THE CLONES (2002),Original Hand-Drawn Production Storyboard - Lost of the Mohicans,£595,
Add to cart,artwork,ALIENS (1986),Narcissus Internal detail 'Sleep Capsule Det 1.' Original Hand Drawn Production Design Artwork,"£1,295",
Add to cart,artwork,ALIENS (1986),Colony Shower Detail 'Air Blow Duct' Original Hand Drawn Production Design Artwork,£245,
Add to cart,artwork,JUMANJI (1995),Terryl Whitlatch Original Concept Drawings and Other Print Concepts,$495,
Add to cart,artwork,INDIANA JONES AND THE TEMPLE OF DOOM (1984),Original Production Storyboard Display,£295,
Add to cart,artwork,COCOON: THE RETURN (1988),Concept Art - Zodiac Beam in Color,$795,
Add to cart,artwork,BAND OF BROTHERS (2001),Alan Tomkins-signed German Mercedes Workshop Art Display,£395,
Add to cart,artwork,IMPERIAL EARTH-BOOK (1975),Book Cover Painting,"$1,995",
Sold Archive,artwork,JASON AND THE ARGONAUTS (1963),Entertainment Memorabilia Live Auction 2016 Ray Harryhausen Hand-Drawn Concept of Jason (Todd Armstrong) and the Hydra,"£14,400","Sold on 26 Aug, 2016"
Add to cart,artwork,ENEMY MINE (1985),Chris Evans Hand-Painted Matte Painting Studies,$995,
Add to cart,artwork,STAR WARS: A NEW HOPE (1977),John Dysktra Signed Early Production Storyboard - POV from TIE Ship of Y-Wings (Board 187),$695,
Add to cart,artwork,STAR TREK: NEMESIS (2002),Mariano Diaz Autographed Shinzon (Tom Hardy) Back View Illustration,£595,
Add to cart,artwork,2010: THE YEAR WE MAKE CONTACT (1984),Hand-Drawn Storyboards: Jupiter Escape,"£1,995",
Add to cart,artwork,ELF (2003),Production-Used Storyboard - Walter and Michael Walk through Woods,£295,
Add to cart,artwork,TROY (2004),Mariano Diaz Hand-drawn Eudorus (Vincent Regan) Alternate Armour Design No.31,£595,
Add to cart,artwork,ELF (2003),Production-Used Storyboard - Following the Rangers through the Trees,£295,
Add to cart,artwork,"SIMPSONS, THE (1989)",Nine Hand-Drawn Pages - Chief Wiggum and Grampa Simpson,$295,
Add to cart,artwork,STAR WARS: A NEW HOPE (1977),Original 1975 Ivor Beddoes-illustrated Printed Storyboard - Luke Disguised as Stormtrooper Helps Obi-Wan Up,£495,
Add to cart,artwork,ALIENS (1986),"Narcissus, Ripley's Apt., Int Hospital Room 'Set Detail' Original Hand Drawn Production Design Artwork",£795,
Add to cart,artwork,"SIMPSONS, THE (1989)",Eight Hand-Drawn Pages - Lisa (SC-283),$275,
Sold Archive,artwork,STAR WARS: A NEW HOPE (1977),Entertainment Memorabilia Live Auction - London - 2021 Hand-drawn Ralph McQuarrie Han Solo and Chewbacca Concept Sketches,"£21,250","Sold on 22 Oct, 2021"
Add to cart,artwork,ALIENS (1986),Pair of SFX Storyboards with Handwritten Note,£495,
Add to cart,artwork,TROY (2004),Mariano Diaz Hand-drawn Helen Of Troy (Diane Kruger) Court Robe Design,£395,
Sold Archive,artwork,CLOSE ENCOUNTERS OF THE THIRD KIND (1977),Entertainment Memorabilia Live Auction - London - 2019 Hand-painted Ron Cobb Mothership Interior Concept Illustration,"£14,760","Sold on 12 Sep, 2019"
Sold Archive,artwork,STAR WARS: RETURN OF THE JEDI (1983),"Entertainment Memorabilia Live Auction - Los Angeles - 2020 Phil Tippett's Creature Bible of Photos, Printed and Handwritten Notes","$34,375","Sold on 26 Aug, 2020"
Add to cart,artwork,INVADERS FROM MARS (1953),Collection of Production Made Storyboards,$295,
Add to cart,artwork,IRON MAN (1994-1996),Tony Stark Armory Outfit Painted Animation Cel - Day,$295,
Add to cart,artwork,STAR TREK: NEMESIS (2002),Mariano Diaz Hand-drawn Romulan Citizen Costume Design,£395,
Add to cart,artwork,STAR WARS: RETURN OF THE JEDI (1983),Hand-Drawn Ralph McQuarrie Artwork: Upright Rancor Monster,"$3,495",
Add to cart,artwork,STAR WARS: A NEW HOPE (1977),John Dysktra Signed Early Production Storyboard - Two X-Wings Dropping to Surface (Board 225),$695,
Sold Archive,artwork,STAR WARS: THE EMPIRE STRIKES BACK (1980),"Entertainment Memorabilia Live Auction - Los Angeles 2022 Lot # 400 - Hand-Drawn Ralph McQuarrie ""Luke and Imperial Walker"" Drawing for Production Illustration","$20,000","Sold on 24 May, 2022"
Add to cart,artwork,CONAN THE BARBARIAN (1982),Hand-Drawn Concept Sketch of Yaro,$995,
Add to cart,artwork,STAR WARS: A NEW HOPE (1977),Hand-drawn Harry Lange Millennium Falcon Laser Cannon Concept Illustration,"£7,995",
Add to cart,artwork,ALIENS (1986),E Stage Layout Depicting Narcissus Original Hand Drawn Production Design Artwork,£695,
Add to cart,artwork,"LAST STARFIGHTER, THE (1984)",Hand-Drawn Storyboard - Screen Shows Black Armada,$395,
Add to cart,artwork,TROY (2004),Mariano Diaz Hand-drawn Ajax (Tyler Mane) Costume Concept No.7,£395,
Sold Archive,artwork,DARK HORSE COMICS,Entertainment Memorabilia Live Auction: Los Angeles 2023 Lot #447 - William Plumb Collection: Hand-Painted Dave Dorman Star Wars: Dark Empire No. 6 Cover Artwork and Prelim,"$34,375","Sold on 30 May, 2023"
Add to cart,artwork,STAR WARS: A NEW HOPE (1977),Original 1975 Ivor Beddoes-illustrated Printed Storyboard – Luke Holding Obi-Wan,£495,
Add to cart,artwork,ALIENS (1986),Refinery Stairs Detail Original Hand Drawn Production Design Artwork,£595,
Add to cart,artwork,STAR WARS: A NEW HOPE (1977),John Dykstra-Signed Production Storyboard - Close-Up of Gold Leader Racing Along Wall (266 P),$595,
Add to cart,artwork,"LAST STARFIGHTER, THE (1984)",Hand-Drawn Ron Cobb Storyboard - Starfighter Circles Dead Planetoid,$595,
Add to cart,artwork,"COTTAGE, THE (2008)",Three Original Hand Drawn Storyboards,£345,
Add to cart,artwork,STAR TREK: NEMESIS (2002),Mariano Diaz Hand-drawn Reman Soldier Costume Drawing,£395,
Add to cart,artwork,"COTTAGE, THE (2008)",Original Hand Drawn Storyboard Artwork,£345,
Add to cart,artwork,CONAN THE BARBARIAN (1982),Hand-Drawn Ron Cobb Temple of Set Concept Sketch,$495,
Sold Archive,artwork,LUCASFILM,Entertainment Memorabilia Live Auction - Los Angeles - 2021 Hand-Painted Ralph McQuarrie 1995 Lucasfilm Holiday Card Preliminary Illustration,"$21,250","Sold on 1 Jun, 2021"
Add to cart,artwork,"TERMINATOR, THE (1984)",Terminator Endoskeleton Painting,£495,
Add to cart,artwork,TROY (2004),Mariano Diaz Hand-drawn Menelaus (Brendan Gleeson) Court Robe No.16,£295,
Add to cart,artwork,FRIDAY THE 13TH (2009),Doug Brode Autographed Hand-drawn Storyboard – Death of Jason,£695,
Sold Archive,artwork,CONAN THE BARBARIAN (1982),Entertainment Memorabilia Live Auction - London - 2020 Conan's (Arnold Schwarzenegger) Atlantean Sword and Four Behind-the-scenes Photos,"£62,500","Sold on 17 Nov, 2020"
Add to cart,artwork,TROY (2004),Mariano Diaz Hand-drawn Odysseus (Sean Bean) Armour Design No.12,£495,
Add to cart,artwork,FINAL ANALYSIS (1992),Concept Painting Court Room Mural,$265,
Add to cart,artwork,STAR WARS: RETURN OF THE JEDI (1983),Production Used Copies of Imperial Bunker Production Sketches,$295,
Add to cart,artwork,X-MEN (2000),Set of Hand-drawn Pencil Storyboards Storm Attacking Toad,£595,
Add to cart,artwork,UNKNOWN PRODUCTION,"""Old London Square…"" John Fenner Painting",£395,
Add to cart,artwork,JAMES BOND FRANCHISE (1953-PRESENT),Limited-Edition Joe Bailey Bronze Sculpture of Sean Connery,$495,
Add to cart,artwork,"6TH DAY, THE (2000)",Clone Lab Concept Art Sketch,$495,
Add to cart,artwork,"LAST STARFIGHTER, THE (1984)",Hand-Drawn Ron Cobb Storyboard - Andronicus in Ship Porthole,$495,
Add to cart,artwork,SUPERMAN (1978),Weston Flying System Original Design Sketches and Production Made Copies,£295,
Add to cart,artwork,TROY (2004),Hand-drawn Mariano Diaz Hector (Eric Bana) Court Tunic Design No.22,£495,
Add to cart,artwork,FRIDAY THE 13TH (2009),Hand-drawn Doug Brode Storyboard – Jason Hits Donnie,£695,
Add to cart,artwork,STAR WARS: RETURN OF THE JEDI (1983),Framed Original Pencil Rotoscope Artwork – Luke Skywalker (Mark Hamill) on Skiff,£695,
Add to cart,artwork,TROY (2004),Mariano Diaz Hand-drawn Boagrius Sketch,£245,
Add to cart,artwork,"CHRONICLES OF NARNIA, THE: PRINCE CASPIAN (2008)",Hand-Drawn Storyboard Set - 94 pages,"$1,095",
Add to cart,artwork,MISSION: IMPOSSIBLE (1996),Hand-Drawn Gadget Sketches,$595,
Sold Archive,artwork,STAR WARS: REVENGE OF THE SITH (2005),Entertainment Memorabilia Live Auction - Los Angeles 2022 Lot # 375 - Darth Sidious' (Ian McDiarmid) Alternate-Finish Hero-Style Lightsaber with Printed Concept Design,"$22,500","Sold on 24 May, 2022"
Add to cart,artwork,"LAST STARFIGHTER, THE (1984)",Hand-Drawn Ron Cobb Storyboard - Scout Ship Zipping Around,$325,
Add to cart,artwork,"SIMPSONS, THE (1989)",Original Production Animation Storyboard Sketchs - Sideshow Mel at Sunday Brunch,£395,
Add to cart,artwork,LUCASFILM,Set of Three Christmas Cards with Printed Lucas Family Signatures,$795,
Add to cart,artwork,STAR WARS: A NEW HOPE (1977),Original 1975 Ivor Beddoes-illustrated Printed Storyboard - Stormtrooper gets Blasted,£495,
Add to cart,artwork,STAR TREK: THE ORIGINAL SERIES (1966-1969),"Hand-Drawn Art Pages - Daily Strips, August 1983",$495,
Add to cart,artwork,CLOSE ENCOUNTERS OF THE THIRD KIND (1977),Original Production Used Storyboard Set - Jillian's House,£345,
Add to cart,artwork,GLADIATOR (2000),Original Storyboard Artwork - Rhino Battle in Arena,$545,
Add to cart,artwork,TRON (1982),Pre-Production Kodalith Cel - 002,£245,
Add to cart,artwork,STAR WARS: JABBA'S PALACE POP-UP BOOK,Hand-Drawn Ralph McQuarrie Artwork: Jabba's Band Drawing,"$2,995",
Sold Archive,artwork,THOR / JOURNEY INTO MYSTERY #84 (1962),Entertainment Memorabilia Live Auction 2018 Jack Kirby and Dick Ayers Hand-Drawn Page 10 Artwork,"£18,450","Sold on 31 Aug, 2018"
Add to cart,artwork,ELF (2003),Production-Used Storyboard - Rangers Gallop Across the Lawn,£295,
Add to cart,artwork,"BOY WHO COULD FLY, THE (1986)",Collection of Hand-drawn Storyboards,£695,
Add to cart,artwork,STAR WARS: JABBA'S PALACE POP-UP BOOK,Hand-Drawn Ralph McQuarrie Artwork: Gamorrean Guard Drawing,"$2,995",
Add to cart,artwork,FLIGHT OF THE INTRUDER (1991),Hand-Drawn and Printed Jack Johnson Storyboards,"$1,195",
Sold Archive,artwork,BRUCE LEE,Entertainment Memorabilia Live Auction - London - 2021 Bruce Lee's Hand-drawn Fighting Warriors Illustration,"£16,250","Sold on 2 Nov, 2021"
Add to cart,artwork,"LAST STARFIGHTER, THE (1984)",Hand-Drawn Ron Cobb Storyboard - Centauri Reverting to Original Form,$345,
Add to cart,artwork,ALIENS (1986),Narcissus Internal Detail 'Central Console' Original Hand Drawn Production Design Artwork,£895,
Add to cart,artwork,UNKNOWN PRODUCTION,Section 8 Conceptual Cover Art #1,$295,
Add to cart,artwork,STAR TREK III: THE SEARCH FOR SPOCK (1984),Hand-Drawn Storyboard - Viewscreen of Genesis Planet,$445,
Add to cart,artwork,ALIENS (1986),Refinery 'Acton Power Station Car Park' APC Entry Point Original Hand Drawn Production Design Artwork,£395,
Add to cart,artwork,NIGHTBREED (1990),"Hand-painted Clive Barker ""Baphomet"" Concept Illustration","£3,995",
Sold Archive,artwork,BLADE RUNNER (1982),Entertainment Memorabilia Live Auction - London - 2019 Matthew Yuricich Matte Painting - Building Exterior,"£39,975","Sold on 18 Sep, 2019"
Add to cart,artwork,STAR TREK IV: THE VOYAGE HOME (1986),Hand-Drawn Nilo Rodis-Jamero Storyboards - Bird of Prey and Golden Gate Bridge,$495,
Add to cart,artwork,STARGATE SG-1 (1997-2007),Cityscape Artwork,£495,
