button,category,movie_name,card_title,price,sold_date
Add to cart,costumes,"TRIPODS, THE (1984-1985)",The Countess' (Pamela Salem) Blue Dress,£595,
Add to cart,costumes,"BROTHERS GRIMM, THE (2005)",Hidlick's (Mackenzie Crook) Hero Witch Costume and Appliances,"$2,875",
Add to cart,costumes,"GRAND BUDAPEST HOTEL, THE (2014)",Zig-Zag Soldier Uniform,£995,
Add to cart,costumes,WHIPLASH (2014),Fletcher's (J.K. Simmons) Costume,$995,
Add to cart,costumes,NORTHFORK (2003),Severed Angel Wings,£495,
Add to cart,costumes,STAR WARS: THE COMPLETE SAGA (1976-0),Figrin' D'an Bith Mask,"$1,495",
Sold Archive,costumes,MARVEL'S DAREDEVIL (2015-2018),"MARVEL TELEVISION LIVE AUCTION - Marvel's Daredevil, Marvel's Luke Cage, Marvel's Iron Fist Matt Murdock's Red First Iteration Daredevil Costume","$68,750","Sold on 12 Aug, 2019"
Add to cart,costumes,KEEP WATCHING (2017),Welding Mask,$245,
Add to cart,costumes,"6TH DAY, THE (2000)","""Weir Labs Security"" Jacket",£145,
Add to cart,costumes,ROCK THE KASBAH (2015),Merci's (Kate Hudson) Rooftop Costume,"$1,225",
Add to cart,costumes,"CHRONICLES OF RIDDICK, THE (2004)",Merc’s (Fabian Gujral) Helion Prime Costume,£595,
Add to cart,costumes,MY BLOODY VALENTINE (2009),Female Open Chest Cavity Appliance,$295,
Sold Archive,costumes,"BODYGUARD, THE (1992)","Entertainment Memorabilia Live Auction - London - 2022 Lot # 82 - Rachel Marron's (Whitney Houston) Screen-matched Complete Hero ""Queen of the Night"" Costume and Original Vac-Formed Lifecast","£50,000","Sold on 25 Oct, 2022"
Add to cart,costumes,SLAUGHTERHOUSE RULEZ (2018),Clegg's (Tom Rhys Harris) Head Boy Uniform,£295,
Add to cart,costumes,"CORE, THE (2003)",Dr. Zimsky’s (Stanley Tucci) Backpack and Boots,$575,
Add to cart,costumes,"GOOD THIEF, THE (2002)",Bob Montagnet (Nick Nolte) Costume,£175,
Add to cart,costumes,"FOUR FEATHERS, THE (2002)",Ethne Eustace's (Kate Hudson) Orange Dress,£275,
Reserved,costumes,HANCOCK (2008),Lot # 157 - John Hancock's (Will Smith) Superhero Costume,,
Add to cart,costumes,DA VINCI'S DEMONS (2013-2015),Leonardo da Vinci's (Tom Riley) Hero Costume and Accessories,"$2,295",
Add to cart,costumes,"BREAKING BAD (T.V. SERIES, 2008-2013)",Walter White's (as played by Bryan Cranston) Closet-Stored Wardrobe Set (1 of 9),"$1,295",
Sold Archive,costumes,GUARDIANS OF THE GALAXY (2014),"Entertainment Memorabilia Live Auction 2017 Peter ""Star-Lord"" Quill’s (Chris Pratt) Hero Helmet","£130,900","Sold on 18 Aug, 2017"
Add to cart,costumes,LITTLE RED RIDING HOOD (1995),Sheep Head Mask,£395,
Add to cart,costumes,PIRANHA 3D (2010),Matt Boyd's (Richard Dreyfus) Costume,"£1,295",
Add to cart,costumes,ANCHORMAN 2: THE LEGEND CONTINUES (2013),Brian Fantana's (Paul Rudd) Shirt and Tie with Brick Tamland's (Steve Carell) Shirt,$925,
Sold Archive,costumes,GLADIATOR (2000),Entertainment Memorabilia Live Auction - London - 2021 Maximus' (Russell Crowe) Arena Armour,"£68,750","Sold on 2 Nov, 2021"
Add to cart,costumes,MAJOR LEAGUE: BACK TO THE MINORS (1998),Baseball Uniform,£245,
Add to cart,costumes,EUROPA REPORT (2013),Rosa (Anamaria Marinca) Red Crew Jacket 002,$245,
Add to cart,costumes,TED 2 (2015),Rick's (Michael Dorn) Painted Worf Appliance with Eyebrows,$795,
Add to cart,costumes,DRIVE ANGRY (2011),Henchmen's Camouflage Hat,$245,
Sold Archive,costumes,ALIENS (1986),Entertainment Memorabilia Live Auction - London - 2022 Lot # 20 - Sergeant Apone's (Al Matthews) Screen-Matched USCM Armour,"£87,500","Sold on 31 Oct, 2022"
Add to cart,costumes,INDUSTRIAL LIGHT & MAGIC (ILM),20 Years' Jacket,$395,
Add to cart,costumes,EASTENDERS (1985),Peggy Mitchell's (Barbara Windsor) Red Top & Skirt,£195,
Add to cart,costumes,SKY HIGH (2005),Jetstream's (Kelly Preston) Shin Armor,$245,
Add to cart,costumes,SUPERNOVA (2000),A.J. Marley (Robert Forster) Uniform,£495,
Add to cart,costumes,TULIP FEVER (2017),Jan Van Loos's (Dane Dehann) Brown Suede Buff,$395,
Add to cart,costumes,SLAUGHTERHOUSE RULEZ (2018),Meredith's (Simon Pegg) Costume,£595,
Add to cart,costumes,EARTH: FINAL CONFLICT (1997-2002),Female Taelon Agent Costume,£295,
Add to cart,costumes,EUROPA REPORT (2013),Europa Patch Set,$195,
Add to cart,costumes,SGT. BILKO (1996),Ernest Bilko's (Steve Martin) Military Uniform,"$3,095",
Add to cart,costumes,"LEAGUE OF GENTLEMEN, THE (1999-2017)",Murray Mint's (Mark Gatiss) Costume,£395,
Sold Archive,costumes,"SHINING, THE (1980)",Entertainment Memorabilia Live Auction 2017 Jack Torrance's (Jack Nicholson) Jacket,"£73,200","Sold on 13 Sep, 2017"
Add to cart,costumes,10 CLOVERFIELD LANE (2016),Michelle's White Blouse,$495,
Add to cart,costumes,ALPHA DOG (2006),Olivia Mazursky's (Sharon Stone) Costume,£345,
Add to cart,costumes,TRAITOR (2008),Samir's (Don Cheadle) Costume Components,$325,
Add to cart,costumes,JEREMIAH (1972),Set of Patches,£145,
Add to cart,costumes,ROGUE ONE: A STAR WARS STORY (2016),Bodhi Rook (Riz Ahmed) Exhibition Costume Display,"£12,995",
Sold Archive,costumes,BATMAN RETURNS (1992),Entertainment Memorabilia Live Auction: Los Angeles 2023 Lot #33 - Batman's (Michael Keaton) Batsuit on Display,"$137,500","Sold on 30 May, 2023"
Add to cart,costumes,VAN HELSING (2016-2021),Countess Olivia von Dracula (Tricia Helfer) Dress,"£1,495",
Add to cart,costumes,MEMPHIS BELLE (1990),'Windy City' Leather Flight Jacket,"£1,495",
Add to cart,costumes,"LEAGUE OF GENTLEMEN, THE (1999-2017)",Bernice's (Reece Shearsmith) Costume,£495,
Add to cart,costumes,GIGLI (2003),Larry Gigli's (Ben Affleck) Satin Robe and Tracksuit,£395,
Add to cart,costumes,DRACULA (2013-2014),Mr Browning (Ben Miles) Order of the Dragon Temple Costume,£595,
Add to cart,costumes,BETTER CALL SAUL (2015-2022),"Hamlin, Hamlin & McGill Accessories Set",$795,
Add to cart,costumes,TIMELINE (2003),French Knight Helmet,£395,
Add to cart,costumes,"GRAND BUDAPEST HOTEL, THE (2014)",Zig-Zag Jacket and Hat,£595,
Add to cart,costumes,IN THIS HOUSE OF BREDE (1975),Sir Richard (Denis Quilley) Suit,£295,
Add to cart,costumes,GHOSTBUSTERS (1984),Promotional Jacket,£395,
Add to cart,costumes,ULTRAVIOLET (2006),Helicopter Gunner's Costume,"£1,245",
Add to cart,costumes,WHO FRAMED ROGER RABBIT (1988),Acme Jumpsuit,"£1,095",
Add to cart,costumes,ROCK THE KASBAH (2015),Nick's (Danny McBride) Club Volcan Costume,$695,
Add to cart,costumes,T2 TRAINSPOTTING (2017),Big Bear's (Tom Urie) T-Shirt,£295,
Add to cart,costumes,ULTRAVIOLET (2006),"""Yellow Pyramid"" Archministry Guard Uniform",£195,
