button,category,movie_name,card_title,price,sold_date
Add to cart,posters,"SIMPSONS, THE (1989)",Characters Poster,$45,
Sold Archive,posters,JAMES BOND COLLECTIBLES,"Poster Live Auction - Fall 2022 Lot #144 - Poster Live Auction - Daniel Craig Autographed 007 Bookplate and Limited Edition Presentation Book with Exclusive Studio Photographs, 2021","£3,750","Sold on 30 Aug, 2022"
Sold Archive,posters,I DREAM OF JEANNIE (1965-1970),Entertainment Memorabilia Live Auction: London 2023 Lot #196 - Jeannie's (Barbara Eden) Season 1 Bottle,"£106,250","Sold on 17 Oct, 2023"
Add to cart,posters,VARIOUS PRODUCTIONS,"The Last Samurai, Robin Hood: Prince of Thieves and Gandhi Trailer Film Reels",$245,
Add to cart,posters,"TEN COMMANDMENTS, THE (1956)",Press Stills,$245,
Sold Archive,posters,STAR WARS: THE EMPIRE STRIKES BACK (1980),"Cinema Poster Live Auction - Winter 2021 Original Full Colour Painted Concept Artwork, 1980","£53,125","Sold on 23 Nov, 2021"
Add to cart,posters,DOCTOR ZHIVAGO (1965),"One-Sheet & Program (36 Pages) (27"" x 41"" & 9"" x 12""); Style C; Near Mint Folded",$95,
Add to cart,posters,"PRIMAL LURE, THE (1916)","Three Sheet (41"" x 79""); Very Fine- on Linen",$795,
Sold Archive,posters,BREAKFAST AT TIFFANY'S (1961),Cinema Poster Live Auction - November 2018 US One-Sheet (1961),,
Sold Archive,posters,STAR WARS: A NEW HOPE (1977),Entertainment Memorabilia Live Auction 2017 George Lucas-Autographed Howard Chaykin Poster,"£6,710","Sold on 21 Sep, 2017"
Add to cart,posters,GALAXY QUEST (1999),SIGGRAPH ILM Recruitment Poster,£75,
Add to cart,posters,STAR WARS: RETURN OF THE JEDI (1983),Film Credits Program Folder,$95,
Sold Archive,posters,STAR WARS: RETURN OF THE JEDI (1983),"Entertainment Memorabilia Live Auction - Los Angeles - 2021 ""Revenge of the Jedi"" Teaser One-Sheet Signed by Richard Marquand, George Lucas, and Howard Kazanjian","$16,250","Sold on 1 Jun, 2021"
Add to cart,posters,"MATRIX, THE (1999)",Betacam SP Electronic Press Kit,£495,
Sold Archive,posters,"DAY THE EARTH STOOD STILL, THE (1951)","Cinema Poster Live Auction - Spring 2020 Lot #321 - Cinema Poster Live Auction - UK Quad Poster, 1951","£11,440","Sold on 30 Mar, 2020"
Sold Archive,posters,FIGHT CLUB (1999),Entertainment Memorabilia Live Auction - Los Angeles - 2020 Film Poster Soap Bar,"$6,250","Sold on 26 Aug, 2020"
Add to cart,posters,STAR WARS: ORIGINAL TRILOGY (1977-1983),John Mollo-Autographed Star Wars Costumes: The Original Trilogy Book With Costume Design Sketch - Imperial Senior Officer,£595,
Add to cart,posters,STAR WARS: RETURN OF THE JEDI (1983),Re-Release One Sheet,$195,
Add to cart,posters,TEENAGE MUTANT NINJA TURTLES III (1993),Pair of Hand-drawn Morgan Weistling Poster Concept Sketches,£395,
Sold Archive,posters,"DAM BUSTERS, THE (1955)",Cinema Poster Live Auction June 2018 UK Quad Poster (1955),"£7,380","Sold on 6 Jun, 2018"
Sold Archive,posters,BACK TO THE FUTURE (1985),Entertainment Memorabilia Live Auction - Los Angeles - 2020 Mayor Goldie Wilson (Donald Fullilove) Campaign Poster,"$4,687","Sold on 26 Aug, 2020"
Add to cart,posters,KUBO AND THE TWO STRINGS (2016),Light-Up Garden of Eyes Marketing Standee,"$3,925",
Sold Archive,posters,HARRY POTTER AND THE CHAMBER OF SECRETS (2002),"Entertainment Memorabilia Live Auction: London 2023 Lot #1168 - Daniel Radcliffe, Emma Watson, Rupert Grint, Robert Pattinson and Other Key Cast-Autographed Poster","£3,750","Sold on 19 Oct, 2023"
Sold Archive,posters,JAMES BOND: FROM RUSSIA WITH LOVE (1963),"Cinema Poster Live Auction - Spring 2020 UK Quad Poster, 1963","£4,687","Sold on 20 Mar, 2020"
Sold Archive,posters,FOR A FEW DOLLARS MORE (1965),"Poster Live Auction - Fall 2022 Lot #91 - Poster Live Auction - Italian Two-Panel (4-Foglio) - Blue Style, 1965","£5,000","Sold on 14 Sep, 2022"
Sold Archive,posters,STAR WARS: RETURN OF THE JEDI (1983),"Entertainment Memorabilia Live Auction - Los Angeles - 2021 Harrison Ford-Signed ""Revenge of the Jedi"" Teaser One-Sheet","$7,500","Sold on 1 Jun, 2021"
Sold Archive,posters,"PEOPLE THAT TIME FORGOT, THE (1977)",Cinema Poster Live Auction June 2018 UK Quad Poster Artwork (1977),"£3,690","Sold on 22 Jun, 2018"
Add to cart,posters,"ARRIVAL, THE (1996)",Cast and Crew Signed Poster,$295,
Sold Archive,posters,ROCKY BALBOA (2006),Entertainment Memorabilia Live Auction: London 2023 Lot #1506 - Sylvester Stallone Autographed Limited Edition Poster,"£4,062","Sold on 6 Nov, 2023"
Sold Archive,posters,JAMES BOND: DR. NO (1962),Entertainment Memorabilia Live Auction 2018 JAMES BOND: DR NO (1962) - Enzo Sciotti Signed Hand-Painted Concept Poster Art / ESCAPE FROM THE BRONX (1983) Enzo Sciotti Signed Hand-Painted Concept Poster Art,"£8,610","Sold on 31 Aug, 2018"
Sold Archive,posters,STAR WARS: THE EMPIRE STRIKES BACK (1980),"Cinema Poster Live Auction - Fall 2020 UK Quad 'Gone With the Wind' Style, 1980","£4,375","Sold on 22 Oct, 2020"
Sold Archive,posters,THUNDERBIRDS ARE GO (1966),"Cinema Poster Live Auction - Summer 2019 UK Quad ""Style-A"" Poster, 1966","£3,750","Sold on 7 Jun, 2019"
Add to cart,posters,"JAMES BOND: LIVING DAYLIGHTS, THE (1987)",Advertisement Application Form,£45,
Add to cart,posters,VARIOUS PRODUCTIONS,Five Screening Programs,$75,
Sold Archive,posters,STAR WARS: THE LAST JEDI (2017),Entertainment Memorabilia Live Auction - Los Angeles - 2020 Cast-Signed Poster,"$10,625","Sold on 26 Aug, 2020"
Add to cart,posters,GATE OF HELL (1953),"Japanese B2 (20"" x 28.5""); Near Mint Folded",$495,
Sold Archive,posters,STAR WARS: A NEW HOPE (1977),"Poster Live Auction - Fall 2022 Lot #363 - Poster Live Auction - Harrison Ford, Carrie Fisher and Mark Hamill Autographed Mini Poster","£6,250","Sold on 7 Sep, 2022"
Sold Archive,posters,JAMES BOND: DR. NO (1962),"Cinema Poster Live Auction - Summer 2019 UK Quad Poster, 1962","£15,000","Sold on 29 May, 2019"
Sold Archive,posters,STAR WARS: THE EMPIRE STRIKES BACK (1980),"Entertainment Memorabilia Live Auction - Los Angeles - 2020 Style A ""Gone with the Wind"" One-Sheet Poster","$5,000","Sold on 26 Aug, 2020"
Add to cart,posters,TARZAN AND THE LOST CITY (1998),Framed One-Sheet Poster,£195,
Add to cart,posters,"STORYTELLER, THE (1987)",Press Leaflet,£45,
Sold Archive,posters,STAR WARS: A NEW HOPE (1977),"Poster Live Auction - Fall 2022 Lot #361 - Poster Live Auction - UK Quad - Style C, 1977","£4,062","Sold on 5 Sep, 2022"
Sold Archive,posters,WAR OF THE WORLDS (1953),"Online Collectible Posters Auction: US May 2023 Lot # 153 - Half Sheet (22"" x 28""); Style B; Very Fine- Folded","$16,250","Sold on 19 Apr, 2023"
