button,category,movie_name,card_title,price,sold_date
Add to cart,props,JUMPER (2008),Paladin Stun Rod,"$1,965",
Sold Archive,props,"MUMMY, THE (1999)",Entertainment Memorabilia Live Auction - London - 2022 Lot # 280 - Functional Hero Golden Book of the Living,"£68,750","Sold on 25 Oct, 2022"
Add to cart,props,BETTER CALL SAUL (2015-2022),Los Pollos Hermanos Branded Cups,$395,
Add to cart,props,ASSASSIN'S CREED (2016),Nathan's (Callum Turner) Stunt Wrist Crossbow,£495,
Add to cart,props,JAMES BOND: NO TIME TO DIE (2021),SPECTRE Gala Poster,$695,
Add to cart,props,XENA: WARRIOR PRINCESS (1995-2001),Demon King Indrajit's (Rajneel Singh) Stunt Sword,£395,
Add to cart,props,DEATH HOUSE (2016),SFX Guard Head,$425,
Sold Archive,props,GILLIGAN'S ISLAND (1964 - 1967),Entertainment Memorabilia Live Auction: London 2023 Lot #156 - S.S. Minnow Life Preserver Ring and Alan Hale's Desk Nameplate,"£43,750","Sold on 25 Oct, 2023"
Sold Archive,props,HANNIBAL (2013-2015),Hannibal: Complete Series Online Auction Wendigo Bust,"$21,562","Sold on 21 Mar, 2016"
Sold Archive,props,STAR WARS: A NEW HOPE (1977),Entertainment Memorabilia Live Auction - Los Angeles - 2020 Phil Tippett Collection: Principal Dejarik Holo-Chess Piece Armature,"$53,125","Sold on 25 Aug, 2020"
Sold Archive,props,"FIFTH ELEMENT, THE (1997)",Entertainment Memorabilia Live Auction - London - 2019 Korben Dallas' (Bruce Willis) Light-Up Taxi Cab Model Miniature,"£36,900","Sold on 6 Sep, 2019"
Sold Archive,props,MYTHBUSTERS (2003-0),"MythBusters Charity Online Auction Lot # 19: First Pilot Episode ""Jet Assisted Chevy"" (2003, P1): Spent JATO Rocket from the Pilot Episode","$20,000","Sold on 26 Aug, 2021"
Sold Archive,props,X2: X-MEN UNITED (2003),Entertainment Memorabilia Live Auction - London - 2020 Wolverine's (Hugh Jackman) Claws,"£12,500","Sold on 2 Dec, 2020"
Add to cart,props,ANGEL (1999-2004),Charles Gunn’s (J. August Richards) Business Card and Flyer Display,£395,
Sold Archive,props,GREMLINS 2: THE NEW BATCH (1990),Entertainment Memorabilia Live Auction: Los Angeles 2023 Lot #199 - Daffy Gremlin Marionette,"$41,250","Sold on 30 May, 2023"
Add to cart,props,ASSASSIN'S CREED (2016),Set of Four Assassin Stunt Smokebombs,£495,
Add to cart,props,BATMAN V SUPERMAN: DAWN OF JUSTICE (2016),Prototype Grapple Gun Handle and Barrel,"$1,195",
Sold Archive,props,GREMLINS 2: THE NEW BATCH (1990),Entertainment Memorabilia Live Auction - Los Angeles 2022 Lot # 147 - Hero Animatronic Gizmo Puppet,"$137,500","Sold on 24 May, 2022"
Sold Archive,props,STAR TREK II: THE WRATH OF KHAN (1982),Entertainment Memorabilia Live Auction - London - 2022 Lot # 338 - Screen-matched Light-up Battle-damaged USS Enterprise Hull Insert Model Miniature,"£21,250","Sold on 4 Oct, 2022"
Sold Archive,props,BACK TO THE FUTURE PART II (1989)/BACK TO THE FUTURE PART III (1990),Entertainment Memorabilia Live Auction - London - 2022 Lot # 53 - Marty McFly's (Michael J. Fox) Hoverboard,"£75,000","Sold on 4 Oct, 2022"
Add to cart,props,BETTER CALL SAUL (2015-2022),Kim Wexler (as played by Rhea Seehorn) and Saul Goodman (as played by Bob Odenkirk) Business Cards Set,$895,
Add to cart,props,"CHRONICLES OF RIDDICK, THE (2004)",Slam Guard Stunt Rifle,£495,
Sold Archive,props,INDEPENDENCE DAY (1996),Entertainment Memorabilia Live Auction: London 2023 Lot #199 - 48-inch Alien Attacker Spaceship Model Miniature,"£18,750","Sold on 20 Oct, 2023"
Add to cart,props,SOLDIER (1998),Caine 607's (Jason Scott Lee) HRV Rockets,$595,
Add to cart,props,PRIDE AND PREJUDICE AND ZOMBIES (2016),Mr. Wickham (Jack Huston) Stunt Sheathed Sword,£395,
Sold Archive,props,BACK TO THE FUTURE (1985),"Entertainment Memorabilia Live Auction 2018 ""OUTATIME"" DeLorean Licence Plate","£23,370","Sold on 31 Aug, 2018"
Sold Archive,props,JAMES BOND: GOLDENEYE (1995),Entertainment Memorabilia Live Auction - Los Angeles 2022 Lot # 861 - Set of Five Monte Carlo Casino Playing Cards,"$16,250","Sold on 24 May, 2022"
Sold Archive,props,SPIDER-MAN (2002),Entertainment Memorabilia Live Auction - Los Angeles 2022 Lot # 321 - Green Goblin's (Willem Dafoe) Light-Up Pumpkin Bomb,"$53,125","Sold on 24 May, 2022"
Sold Archive,props,PIRATES OF THE CARIBBEAN: ON STRANGER TIDES (2011),Entertainment Memorabilia Live Auction: London 2023 Lot #1461 - Captain Jack Sparrow's (Johnny Depp) Flintlock Pistols,"£10,625","Sold on 7 Nov, 2023"
Sold Archive,props,STAR WARS: THE PHANTOM MENACE (1999),Entertainment Memorabilia Live Auction: Los Angeles 2023 Lot #383 - Darth Maul's (Ray Park) Lightsaber,"$52,000","Sold on 30 May, 2023"
Add to cart,props,KINGDOM OF HEAVEN (2005),Oval Crescent Shield,£395,
Add to cart,props,TROY (2004),Greek Shield,£495,
Sold Archive,props,STAR WARS: THE PHANTOM MENACE (1999),Entertainment Memorabilia Live Auction - Los Angeles 2022 Lot # 367 - Obi-Wan Kenobi's (Ewan McGregor) Lightsaber Hilt with Short Blade,"$37,500","Sold on 24 May, 2022"
Add to cart,props,WEDDING CRASHERS (2005),John Ryan's (Owen Wilson) Driver's License Print,$395,
Sold Archive,props,ALIENS (1986),Entertainment Memorabilia Live Auction: Los Angeles 2023 Lot #15 - Terry English-Made Hudson USCM Armor Costume Replica,"$18,750","Sold on 30 May, 2023"
Sold Archive,props,ARMAGEDDON (1998),Entertainment Memorabilia Live Auction: London 2023 Lot #25 - Light-up Independence Space Shuttle Model Miniature,"£37,500","Sold on 11 Oct, 2023"
Sold Archive,props,DIE HARD (1988),Entertainment Memorabilia Live Auction - London - 2022 Lot # 112 - John McClane's (Bruce Willis) Stunt MP5 Submachine Gun,"£13,750","Sold on 4 Oct, 2022"
Add to cart,props,"ISLAND, THE (2005)",Harpoon Rifle with Spear,$645,
Add to cart,props,KINGDOM OF HEAVEN (2005),Saladin Black Handle Soldier Sword,£395,
Sold Archive,props,MYTHBUSTERS (2003-0),MythBusters Charity Online Auction Two Paintings with Explosives Paintings,"$16,250","Sold on 20 Aug, 2021"
Add to cart,props,DRACULA (2013-2014),Alexander Grayson's (Jonathan Rhys Meyers) Fight Costume and Stunt Sword,"£2,995",
Add to cart,props,CROMWELL (1970),Wheelock Carbine,£395,
Add to cart,props,"BRIDE, THE (1985)",Medical Journal,£995,
Add to cart,props,BETTER CALL SAUL (2015-2022),Lalo Salamanca (as played by Tony Dalton) Binoculars and Tripod Set,"$1,345",
Sold Archive,props,FREDDY VS. JASON (2003),Entertainment Memorabilia Live Auction 2018 Freddy Krueger’s (Robert Englund) Test-Fitting Glove,"£11,070","Sold on 31 Aug, 2018"
Add to cart,props,LAW & ORDER: CRIMINAL INTENT (2001),Detective Alexandra Eames' (Kathryn Erbe) ID Photo Badge,£595,
Sold Archive,props,JAMES BOND: DR. NO (1962),Entertainment Memorabilia Live Auction - London - 2021 Â£500 Le Cercle Gaming Plaque,"£11,250","Sold on 19 Oct, 2021"
Sold Archive,props,BULLITT (1968),Frank Bullitt's (Steve McQueen) Licence Plate and Behind-The-Scenes Photographs,,
Add to cart,props,VIEW FROM THE TOP (2003),John Witney's (Mike Myers) Headset,$395,
Sold Archive,props,STAR WARS: ATTACK OF THE CLONES (2002),Entertainment Memorabilia Live Auction - Los Angeles - 2020 Mace Windu's (Samuel LJackson) Dueling Lightsaber,"$31,250","Sold on 19 Aug, 2020"
Sold Archive,props,INDIANA JONES AND THE RAIDERS OF THE LOST ARK (1981),Entertainment Memorabilia Live Auction - London - 2021 Peruvian Temple Dart Wall Piece,"£21,250","Sold on 1 Nov, 2021"
Add to cart,props,BETTER CALL SAUL (2015-2022),Davis & Main Accessories,$895,
Sold Archive,props,STAR WARS: A NEW HOPE (1977),Phil Tippett Online Auction Dianoga Trash Compactor Monster,"$59,000","Sold on 9 Oct, 2016"
Add to cart,props,ERAGON (2006),Durza's (Robert Carlyle) Hand-and-a-half Stunt Sword in Sheath,£595,
Add to cart,props,ASSASSIN'S CREED (2016),Aguilar's (Michael Fassbender) Stunt Wrist Blade Sheaths,"£1,495",
